,Unnamed: 0,id,fecha_de_i,fecha_fina,fechaasign,fechalegal,nombreunid,codestado,codtrabajo,actividad,barrio,com1,com2,causal,orden,solicitud,cliente,producto,consecruta,codruta,x,y,id_download,sentinel_img_date,landsat_img_date,date_diff_img,date_diff_leak,sentinel_cloud,landsat_cloud,rmse
14,14,21551.0,2020-01-21,2020-01-21,2020-01-29,2020-01-29,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,OJOCALIENTE FRACC.,FUGA EN MEDIO DE LA CALLE HACE DOS DIAS. CALVILLITO 324912 - OJOCALIENTE FRACC.,SE REPARO FUGA EN TOMA      ARROYO    1.30X1.20     .50X.50      .60X.50,"SE REPARA FTC, GENERA BA",13892048.0,,264570.0,264570.0,173.0,SECTOR 05/BLOQUE 08 - RUTA 514607,783783.046341,2422396.00746,21551.0,2020-01-03,2020-01-05,2 days,-26 days,0.055907,1.89,279.3473783633807
15,15,21723.0,2020-01-21,2020-01-21,2020-01-30,2020-01-30,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,MUNICIPIO LIBRE FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL,"SE REPARA FTC, GENERA BA",13923137.0,,221138.0,221138.0,95.0,SECTOR 05/BLOQUE 09 - RUTA 519933,782950.877045,2424005.69769,21723.0,2020-01-03,2020-01-05,2 days,-27 days,0.055907,1.89,285.65116906857645
16,16,21918.0,2020-01-23,2020-01-23,2020-02-04,2020-02-04,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,INFO IV CENTENARIO FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL        ZANJA DE ALCA<NTA<RILLADO,"SE REPARA FTC, GENERA BA",13981827.0,,125211.0,125211.0,7.0,SECTOR 02/BLOQUE 02 - RUTA 212706,781125.132511,2421056.26999,21918.0,2020-01-03,2020-01-05,2 days,-32 days,0.055907,1.89,243.35765091932896
17,17,21968.0,2020-01-23,2020-01-23,2020-02-06,2020-02-06,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA TERESA FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL       ARROYO   1.80X1.00,"SE REPARA FTC, GENERA BA",14042480.0,,26159.0,26159.0,140.0,SECTOR 05/BLOQUE 02 - RUTA 518900,781253.543902,2426637.27523,21968.0,2020-01-20,2020-01-21,1 days,-17 days,30.298976,4.47,361.6928912945422
18,18,21960.0,2020-01-24,2020-01-24,2020-01-31,2020-01-31,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,INFO IV CENTENARIO FRACC.,,SE REPARO FTC; ARROYO    3.30X.70X1.00X.15,"SE REPARA FTC, GENERA BA",13952948.0,,125211.0,125211.0,7.0,SECTOR 02/BLOQUE 02 - RUTA 212706,781125.132511,2421056.26999,21960.0,2020-01-03,2020-01-05,2 days,-28 days,0.055907,1.89,243.35765091932896
19,19,21480.0,2020-01-27,2020-01-27,2020-02-04,2020-02-04,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,SAN SEBASTIAN FRACC.,,SE REPARO FTC; ARROYO CONCRETO    4.50X1.00X1.60X.18,"SE REPARA FTC, GENERA BA",13981811.0,,51031.0,51031.0,100.0,SECTOR 10/BLOQUE 01 - RUTA MO0142,782506.889861,2415404.72412,21480.0,2020-01-03,2020-01-05,2 days,-32 days,0.055907,1.89,259.6924262824803
20,20,21479.0,2020-01-27,2020-01-27,2020-02-04,2020-02-04,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA TERESA FRACC.,,SE REPARO FTC; ARROYO    1.00X.90X1.20X.15,"SE REPARA FTC, GENERA BA",13981752.0,,11636.0,11636.0,28.0,SECTOR 05/BLOQUE 02 - RUTA 518903,781396.852557,2426619.17066,21479.0,2020-01-03,2020-01-05,2 days,-32 days,0.055907,1.89,281.8361613595695
21,21,21535.0,2020-01-28,2020-01-28,2020-01-24,2020-02-05,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA NTRA. SRA. A. SECC. GUADALUPE FRACC.,SE REPROTA QUE HAY UNA FUGA DE AGUA EN LA CALLE FERNAN GONZALEZ DE ESLAVA 423  MZ-30 LT-30 COL. VILLA NTRA. SRA. A. SECC. GUADALUPE FRACC.,SE REPARO FUGA EN TOMA       INTERIOR      .80X.80,"SE REPARA FTC, GENERA BA",13789239.0,,282105.0,282105.0,42.0,SECTOR 12/BLOQUE 03 - RUTA 120802,783126.620499,2427647.11775,21535.0,2020-01-20,2020-01-21,1 days,-16 days,30.298976,4.47,231.35353600388814
22,22,22054.0,2020-02-06,2020-02-06,2020-02-20,2020-02-20,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,BONA GENS FRACC.,,SE REPARO FTC; BANQUETA     1.70X.70,"SE REPARA FTC, GENERA BA",14395342.0,,182768.0,182768.0,2.0,SECTOR 05/BLOQUE 05 - RUTA 518000,782326.532038,2421785.72742,22054.0,2020-02-04,2020-02-06,2 days,-16 days,70.303065,0.16,286.13222391791555
23,23,22165.0,2020-02-11,2020-02-11,2020-02-22,2020-02-22,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,BOULEVARES FRACC.,,SE REPARO FTC; ARROYO     1.40X1.20X1.20X.20        CONCRETO Y ASFALTO.,"SE REPARA FTC, GENERA BA",14430950.0,,122161.0,122161.0,240.0,SECTOR 09/BLOQUE 03 - RUTA 914102,778739.758234,2419680.1018,22165.0,2020-02-04,2020-02-06,2 days,-18 days,70.303065,0.16,244.76876783023343
24,24,22276.0,2020-02-17,2020-02-17,2020-02-28,2020-02-28,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,LOMAS DE SAN JORGE FRACC.,,"SE REPARO FTC; ARROYO CONCRETO    4.10X2.50X1.40X.18      SE TAPONEO TUBERIA DE 3"" PVC, PUES LO VOTÓ.","SE REPARA FTC, GENERA BA",14599751.0,,299824.0,299824.0,14.0,SECTOR 11/BLOQUE 02 - RUTA 110300,785193.594485,2418758.31779,22276.0,2020-02-04,2020-02-06,2 days,-24 days,70.303065,0.16,203.80955548686245
25,25,22045.0,2020-02-19,2020-02-19,2020-02-19,2020-02-19,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,PERIODISTAS FRACC.,,SE REPARO FUGA EN TUBERIA      CENTRAL BANQUETA     1.20X1.00,"SE REPARA FTC, GENERA BA",14363559.0,,155868.0,155868.0,45.0,SECTOR 10/BLOQUE 05 - RUTA MO0106,784647.211404,2418817.47737,22045.0,2020-02-04,2020-02-06,2 days,-15 days,70.303065,0.16,199.7764936239587
26,26,22535.0,2020-02-21,2020-02-21,2020-03-05,2020-03-05,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,PROF. J. GUADALUPE PERALTA G.,,SE RE'PARO FTC; ARROYO    5.00X2.50X3.00,"SE REPARA FTC, GENERA BA",14707676.0,,91428.0,91428.0,320.0,SECTOR 11/BLOQUE 01 - RUTA 110005,785642.9942,2420792.9346,22535.0,2020-02-04,2020-02-06,2 days,-30 days,70.303065,0.16,197.32292069239352
27,27,22402.0,2020-02-26,2020-02-26,2020-03-06,2020-03-07,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,PROF. J. GUADALUPE PERALTA G.,,SE REPARO   FUGA EN TUBERIA CENTRAL        ARROYO ASFALTO        2.40X.90         2 SEÑALAMIENTOS    2MTS DE MALLA PLASTICA,"SE REPARA FTC, GENERA BA",14741963.0,,110635.0,110635.0,276.0,SECTOR 11/BLOQUE 01 - RUTA 110004,785681.364665,2421183.4982,22402.0,2020-02-04,2020-02-06,2 days,-32 days,70.303065,0.16,184.6424154174834
28,28,22242.0,2020-02-28,2020-02-28,2020-02-28,2020-02-28,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,OJOCALIENTE FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL     ARROYO   1.10X.70   1.50X.80,"SE REPARA FTC, GENERA BA",14586179.0,,220760.0,220760.0,118.0,SECTOR 05/BLOQUE 08 - RUTA 514602,783748.645396,2423149.01182,22242.0,2020-02-04,2020-02-06,2 days,-24 days,70.303065,0.16,243.05531997098734
29,29,22377.0,2020-03-04,2020-03-04,2020-03-04,2020-03-04,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,MORELOS II FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL      ARROYO    2.00X.80   .85X.80     1.80X1.00,"SE REPARA FTC, GENERA BA",14678561.0,,114447.0,114447.0,14.0,SECTOR 10/BLOQUE 03 - RUTA MO0026,782770.995643,2419082.08432,22377.0,2020-02-04,2020-02-06,2 days,-29 days,70.303065,0.16,105.10562119885019
30,30,22586.0,2020-03-06,2020-03-06,2020-03-18,2020-03-18,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,SAN MARCOS COL.,PRIV. IGNACIO LOMAS 103 SAN MARCOS COL: Se reporta fuga en la banqueta,SE REPARO FTC; ARROYO CONCRETO      2.00X1.50X1.00X.15,"SE REPARA FTC, GENERA BA",15001712.0,,76956.0,76956.0,30.0,SECTOR 07/BLOQUE 02 - RUTA 706000,778003.080808,2421842.23138,22586.0,2020-02-27,2020-03-02,4 days,-20 days,0.070912,0.02,207.16028772407947
31,31,22540.0,2020-03-06,2020-03-07,2020-03-06,2020-03-07,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,LAS CUMBRES FRACC.,,SE REPARO FUGA EN TOMA,"SE REPARA FTC, GENERA BA",14742734.0,,174572.0,174572.0,37.0,SECTOR 05/BLOQUE 12 - RUTA 517414,783042.9391,2425492.9991,22540.0,2020-02-04,2020-02-06,2 days,-32 days,70.303065,0.16,245.78783101252162
32,32,22656.0,2020-03-07,2020-03-07,2020-03-18,2020-03-18,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,LAS FLORES COL.,,SE REPARO FTC; ARROYO    5.00X1.10X1.50X.15,"SE REPARA FTC, GENERA BA",15030530.0,,69286.0,69286.0,14.0,SECTOR 03/BLOQUE 01 - RUTA 311401,778249.113433,2421034.76815,22656.0,2020-02-27,2020-03-02,4 days,-20 days,0.070912,0.02,261.52270778875027
33,33,22779.0,2020-03-08,2020-03-08,2020-03-19,2020-03-19,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,OJOCALIENTE FRACC.,,SE REPARO FTC; ARROYO     6.00X1.50X1.20,"SE REPARA FTC, GENERA BA",15043534.0,,97116.0,97116.0,179.0,SECTOR 05/BLOQUE 08 - RUTA 514609,784010.117732,2422686.91356,22779.0,2020-02-27,2020-03-02,4 days,-21 days,0.070912,0.02,216.30557148844596
34,34,22565.0,2020-03-12,2020-03-18,2020-03-10,2020-03-26,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,ESTACION ARELLANO,REPORTA FUGA DE AGUA FRENTE A ESTE DOMICILIO,SE REPARO FUGA EN TOMA   arroyo    2.70x.90,"SE REPARA FTC, GENERA BA",14814967.0,,185847.0,185847.0,144.0,SECTOR AR/BLOQUE 02 - RUTA R70200,781860.949483,2413279.36009,22565.0,2020-02-27,2020-03-02,4 days,-28 days,0.070912,0.02,464.7501012266116
35,35,22778.0,2020-03-17,2020-03-17,2020-03-23,2020-03-23,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VISTA ALEGRE FRACC.,,SE REPARO FUGA EN TUBERIA  CENTRAL  ARROYO    EMPEDRADO  1.40X.70,"SE REPARA FTC, GENERA BA",15115358.0,,42117.0,42117.0,29.0,SECTOR 03/BLOQUE 03 - RUTA 312204,781673.434234,2412062.96297,22778.0,2020-02-27,2020-03-02,4 days,-25 days,0.070912,0.02,455.458027150274
36,36,22625.0,2020-03-17,2020-03-17,2020-03-23,2020-03-23,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,JARD. DE LA CRUZ FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL BANQUETA  5.00X1.00  QUEDO PARTE TAPAGO FALTO TIERRA,"SE REPARA FTC, GENERA BA",15114949.0,,176390.0,176390.0,31.0,SECTOR 05/BLOQUE 05 - RUTA 512600,781869.966865,2421803.94573,22625.0,2020-02-27,2020-03-02,4 days,-25 days,0.070912,0.02,302.0697235671851
37,37,22637.0,2020-03-18,2020-03-18,2020-03-24,2020-03-24,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,OJO DE AGUA INFO. FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL       ARROYO   1.00X.70,"SE REPARA FTC, GENERA BA",15115675.0,,273351.0,273351.0,91.0,SECTOR 02/BLOQUE 02 - RUTA 211904,781162.718536,2420131.01098,22637.0,2020-02-27,2020-03-02,4 days,-26 days,0.070912,0.02,240.80990927152695
38,38,22431.0,2020-03-19,2020-03-19,2020-03-18,2020-03-27,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,INFO. MORELOS FRACC.,UXMAL 129    MZ-R LT-47||FUGA ABUNDANTE EN ARROYO VEHICULAR.||,SE REPARO FUGA EN TOMA ARROYO 1.5X90,"SE REPARA FTC, GENERA BA",15015169.0,,155863.0,155863.0,35.0,SECTOR 10/BLOQUE 05 - RUTA MO0062,783479.243587,2419954.96851,22431.0,2020-02-27,2020-03-02,4 days,-29 days,0.070912,0.02,421.08850354931434
39,39,22612.0,2020-03-23,2020-03-23,2020-04-01,2020-04-01,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,JARD. STA. ELENA FRACC.,,SE REPARO FUGA EN TOMA ARROYO 1.5X80,"SE REPARA FTC, GENERA BA",15308353.0,,145384.0,145384.0,108.0,SECTOR 03/BLOQUE 02 - RUTA 310504,778034.605184,2420449.28602,22612.0,2020-03-20,2020-03-25,5 days,-12 days,0.13251,0.0,251.76562293896208
40,40,22443.0,2020-03-23,2020-03-23,2020-04-01,2020-04-01,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,ZONA CENTRO DTO. CENTRO,SONDEAR VASTAGO,SE REPARO FUGA EN TOMA BANQUETA .60X.60,"SE REPARA FTC, GENERA BA",15308069.0,,108975.0,108975.0,63.0,SECTOR 02/BLOQUE 01 - RUTA 201600,780438.077413,2422005.92412,22443.0,2020-03-20,2020-03-25,5 days,-12 days,0.13251,0.0,212.04006360114104
41,41,22748.0,2020-03-24,2020-03-24,2020-03-24,2020-03-24,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA LOMA DORADA FRACC.,,SE REPARO FUGA EN TUBERIA CENTRAL   ARROYO   1.00X.95,"SE REPARA FTC, GENERA BA",15131577.0,,327485.0,327485.0,42.0,SECTOR 05/BLOQUE 13 - RUTA 508802,784535.839528,2427351.21896,22748.0,2020-02-27,2020-03-02,4 days,-26 days,0.070912,0.02,259.78147706956923
42,42,22842.0,2020-03-26,2020-03-26,2020-04-01,2020-04-01,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,DE LA PURISIMA BARRIO,MARCA EN BANQUETA,SE REPARO FUGA EN TOMA      BANQUETA 1.20*0.50,"SE REPARA FTC, GENERA BA",15322012.0,,158588.0,158588.0,2.0,SECTOR 01/BLOQUE 01 - RUTA 106600,780523.098186,2422503.4013,22842.0,2020-03-20,2020-03-25,5 days,-12 days,0.13251,0.0,235.15882200933578
43,43,22859.0,2020-03-26,2020-03-26,2020-04-01,2020-04-01,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,DE LA PURISIMA BARRIO,MARCA EN BANQUETA,SE REPARO FUGA EN TOMA   BANQUETA .70*.70,"SE REPARA FTC, GENERA BA",15322026.0,,141217.0,141217.0,31.0,SECTOR 01/BLOQUE 01 - RUTA 100201,780655.344838,2422500.89853,22859.0,2020-03-20,2020-03-25,5 days,-12 days,0.13251,0.0,244.26905589354328
44,44,22950.0,2020-03-29,2020-03-29,2020-04-03,2020-04-03,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,FOVI INEGI OJOCALIENTE FRACC.,,SE REAPRO FUGA EN TOMA BANQUETA 1X1,"SE REPARA FTC, GENERA BA",15351576.0,,167229.0,167229.0,49.0,SECTOR 05/BLOQUE 06 - RUTA 517503,784281.721078,2421355.32257,22950.0,2020-03-20,2020-03-25,5 days,-14 days,0.13251,0.0,290.07307764048716
45,45,22995.0,2020-03-30,2020-03-30,2020-04-03,2020-04-03,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,LA FUENTE FRACC.,"BRASILIA 216, LA FUENTE FRACC.,  SE REPORTA FUGA EN MEDIO DE LA CALLE, SOLO SE VE EN LAS MAÑANAS POR LA PRESION",SE REPARO FUGA EN TOMA ARROYO 1X1,"SE REPARA FTC, GENERA BA",15364503.0,,165098.0,165098.0,187.0,SECTOR 03/BLOQUE 01 - RUTA 312005,779034.282684,2420969.35556,22995.0,2020-03-20,2020-03-25,5 days,-14 days,0.13251,0.0,288.4429199832807
46,46,22890.0,2020-03-30,2020-03-30,2020-04-03,2020-04-03,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA TERESA FRACC.,,SE REPARO FUGA EN TOMA ARROYO 3X70 SE REALIZO SONDEO 1 SEÑALAMIENTO,"SE REPARA FTC, GENERA BA",15364556.0,,212268.0,212268.0,192.0,SECTOR 05/BLOQUE 02 - RUTA 518906,780673.852955,2426656.91337,22890.0,2020-03-20,2020-03-25,5 days,-14 days,0.13251,0.0,462.1598133291408
47,47,22891.0,2020-03-30,2020-03-30,2020-04-03,2020-04-03,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,VILLA TERESA FRACC.,,SE REPARO FUGA EN TOMA ARROYO 1.8X1,"SE REPARA FTC, GENERA BA",15364557.0,,229812.0,229812.0,215.0,SECTOR 05/BLOQUE 02 - RUTA 518902,780718.504098,2426667.11453,22891.0,2020-03-20,2020-03-25,5 days,-14 days,0.13251,0.0,458.93445131240014
48,48,22889.0,2020-03-30,2020-03-30,2020-04-03,2020-04-03,CT - MANTTO. DE REDES,8.0,10208.0,FTC - FUGA EN TUBERIA CENTRAL,JARD. DE LA CONVENCION FRACC.,,SE REPARO FUGA EN TOMA ARROYO 140X150,"SE REPARA FTC, GENERA BA",15364551.0,,228822.0,228822.0,18.0,SECTOR 05/BLOQUE 05 - RUTA 517900,781431.502428,2420639.23571,22889.0,2020-03-20,2020-03-25,5 days,-14 days,0.13251,0.0,283.4148152918069
